Event1;Event2;Area_intersection;Percent1;Percent2;Percent;StartDate1;StartDate2;Timelag
2000-0752-ITA;2001-0016-ITA;4258.0;0.03;1.0;1.0;2000-11-20 00:00:00+00:00;2001-01-01 00:00:00+00:00;42.0
2000-0753-MOZ;2000-0786-MOZ;12502.0;0.06;1.0;1.0;2000-11-18 00:00:00+00:00;2000-11-26 00:00:00+00:00;8.0
2000-0754-ZAF;2000-0861-ZAF;121853.0;1.0;1.0;1.0;2000-11-19 00:00:00+00:00;2000-12-09 00:00:00+00:00;20.0
2000-0754-ZAF;2001-0037-ZAF;121853.0;1.0;1.0;1.0;2000-11-19 00:00:00+00:00;2001-01-30 00:00:00+00:00;72.0
2000-0761-IDN;2000-0791-IDN;7939.0;1.0;0.05;1.0;2000-10-25 00:00:00+00:00;2000-12-03 00:00:00+00:00;39.0
2000-0761-IDN;2001-0041-IDN;3339.0;0.42;0.99;0.99;2000-10-25 00:00:00+00:00;2001-02-08 00:00:00+00:00;106.0
2000-0761-IDN;2001-0051-IDN;7939.0;1.0;0.12;1.0;2000-10-25 00:00:00+00:00;2001-02-04 00:00:00+00:00;102.0
2000-0769-AZE;2000-9495-AZE;3914.0;0.97;0.03;0.97;2000-11-25 00:00:00+00:00;2000-10-01 00:00:00+00:00;55.0
2000-0791-IDN;2001-0041-IDN;3347.0;0.02;0.99;0.99;2000-12-03 00:00:00+00:00;2001-02-08 00:00:00+00:00;67.0
2000-0791-IDN;2001-0051-IDN;59910.0;0.4;0.92;0.92;2000-12-03 00:00:00+00:00;2001-02-04 00:00:00+00:00;63.0
2000-0806-FJI;2001-0223-FJI;7982.0;0.66;0.83;0.83;2000-12-06 00:00:00+00:00;2001-03-01 00:00:00+00:00;85.0
2000-0812-FRA;2001-0066-FRA;30727.0;1.0;0.41;1.0;2000-12-13 00:00:00+00:00;2001-01-05 00:00:00+00:00;23.0
2000-0812-FRA;2001-0193-FRA;30727.0;1.0;0.17;1.0;2000-12-13 00:00:00+00:00;2001-03-21 00:00:00+00:00;98.0
2000-0815-MNG;2001-0155-MNG;1312344.0;0.5;1.0;1.0;2000-12-01 00:00:00+00:00;2001-04-07 00:00:00+00:00;127.0
2000-0834-AZE;2000-9495-AZE;1696.0;1.0;0.01;1.0;2000-12-01 00:00:00+00:00;2000-10-01 00:00:00+00:00;61.0
2000-0839-ARG;2001-0012-ARG;478881.0;1.0;1.0;1.0;2000-12-27 00:00:00+00:00;2001-01-10 00:00:00+00:00;14.0
2000-0839-ARG;2001-0121-ARG;478881.0;1.0;1.0;1.0;2000-12-27 00:00:00+00:00;2001-03-21 00:00:00+00:00;84.0
2000-0861-ZAF;2001-0037-ZAF;121853.0;1.0;1.0;1.0;2000-12-09 00:00:00+00:00;2001-01-30 00:00:00+00:00;52.0
2000-0937-USA;2001-0102-USA;175279.0;0.13;1.0;1.0;2000-12-16 00:00:00+00:00;2001-02-24 00:00:00+00:00;70.0
2000-9531-CHN;2001-0008-CHN;2239223.0;1.0;0.91;1.0;2000-08-01 00:00:00+00:00;2001-01-01 00:00:00+00:00;153.0
2001-0008-CHN;2001-9149-CHN;2239223.0;0.91;1.0;1.0;2001-01-01 00:00:00+00:00;2001-02-01 00:00:00+00:00;31.0
2001-0011-IND;2001-0337-IND;304260.0;0.62;1.0;1.0;2001-01-01 00:00:00+00:00;2001-05-24 00:00:00+00:00;143.0
2001-0012-ARG;2001-0121-ARG;478881.0;1.0;1.0;1.0;2001-01-10 00:00:00+00:00;2001-03-21 00:00:00+00:00;70.0
2001-0013-SLV;2001-9383-SLV;7661.0;0.38;0.99;0.99;2001-01-13 00:00:00+00:00;2001-05-01 00:00:00+00:00;108.0
2001-0017-KAZ;2001-0774-KAZ;23542.0;1.0;1.0;1.0;2001-01-01 00:00:00+00:00;2001-05-13 00:00:00+00:00;132.0
2001-0027-AFG;2001-0086-AFG;1497.0;0.01;1.0;1.0;2001-01-31 00:00:00+00:00;2001-02-25 00:00:00+00:00;25.0
2001-0030-AUS;2001-0087-AUS;1122970.0;1.0;1.0;1.0;2001-01-16 00:00:00+00:00;2001-02-01 00:00:00+00:00;16.0
2001-0030-AUS;2001-0130-AUS;10579.0;0.01;0.98;0.98;2001-01-16 00:00:00+00:00;2001-03-08 00:00:00+00:00;51.0
2001-0041-IDN;2001-0051-IDN;3347.0;0.99;0.05;0.99;2001-02-08 00:00:00+00:00;2001-02-04 00:00:00+00:00;4.0
2001-0046-IDN;2001-0051-IDN;579.0;0.96;0.01;0.96;2001-01-22 00:00:00+00:00;2001-02-04 00:00:00+00:00;13.0
