;Records;No records;Hazards;No hazards
2000-0662-GBR;"[""2000-0662-GBR""]";1;"[""fl""]";1
2000-0666-BRA;"[""2000-0666-BRA""]";1;"[""fl""]";1
2000-0677-CHN;"[""2000-0677-CHN""]";1;"[""fl"", ""ls""]";2
2000-0848-DZA;"[""2000-0848-DZA""]";1;"[""fl""]";1
2000-0672-CHE;"[""2000-0672-CHE""]";1;"[""ls""]";1
2000-0671-ITA;"[""2000-0671-ITA""]";1;"[""fl""]";1
2000-0724-ECU;"[""2000-0724-ECU""]";1;"[""ls""]";1
2000-0676-KGZ;"[""2000-0676-KGZ""]";1;"[""cw""]";1
2000-0323-IND;"[""2000-0323-IND""]";1;"[""ew""]";1
2000-0738-IND;"[""2000-0738-IND""]";1;"[""fl""]";1
2000-0699-ESP;"[""2000-0699-ESP""]";1;"[""fl""]";1
2000-0692-DZA;"[""2000-0692-DZA""]";1;"[""fl""]";1
2000-0691-MAR;"[""2000-0691-MAR""]";1;"[""fl""]";1
2000-0761-IDN;"[""2000-0761-IDN""]";1;"[""eq""]";1
2000-0706-PHL;"[""2000-0706-PHL""]";1;"[""ew""]";1
2000-0713-BGD;"[""2000-0713-BGD""]";1;"[""ew""]";1
2000-0714-GBR;"[""2000-0662-GBR"", ""2000-0714-GBR""]";2;"[""fl"", ""ew"", ""fl""]";3
2000-0701-IDN;"[""2000-0701-IDN""]";1;"[""ls""]";1
2000-0743-TJK;"[""2000-0743-TJK""]";1;"[""eq""]";1
2000-0708-GRC;"[""2000-0708-GRC""]";1;"[""fl""]";1
2000-0706-TWN;"[""2000-0706-TWN""]";1;"[""ew"", ""fl"", ""ls""]";3
2000-0870-FRA;"[""2000-0870-FRA""]";1;"[""fl""]";1
2000-0679-IRL;"[""2000-0679-IRL""]";1;"[""ew""]";1
2000-0722-HTI;"[""2000-0722-HTI""]";1;"[""fl""]";1
2000-0865-USA;"[""2000-0865-USA""]";1;"[""fl""]";1
2000-0715-PHL;"[""2000-0715-PHL""]";1;"[""ew""]";1
