Record1;Record2;Area_intersection;Percent1;Percent2;Percent;StartDate1;StartDate2;Timelag
2004-0662-AUS;2005-0068-AUS;17542.0;0.01;0.74;0.74;2004-12-08 00:00:00+00:00;2005-01-21 00:00:00+00:00;44.0
2004-0676-VEN;2005-0073-VEN;37684.0;0.89;0.35;0.89;2004-11-17 00:00:00+00:00;2005-02-07 00:00:00+00:00;82.0
2004-0678-BGD;2004-0679-BGD;4532.0;0.3;1.0;1.0;2004-05-13 00:00:00+00:00;2004-07-17 00:00:00+00:00;65.0
2004-9705-BRA;2005-0296-BRA;867.0;0.0;1.0;1.0;2004-12-01 00:00:00+00:00;2005-06-01 00:00:00+00:00;182.0
2005-0015-USA;2005-0029-USA;460733.0;0.5;0.4;0.5;2005-01-07 00:00:00+00:00;2005-01-22 00:00:00+00:00;15.0
2005-0015-USA;2005-0203-USA;252952.0;0.28;0.38;0.38;2005-01-07 00:00:00+00:00;2005-04-01 00:00:00+00:00;84.0
2005-0015-USA;2005-0687-USA;641496.0;0.7;0.27;0.7;2005-01-07 00:00:00+00:00;2005-07-04 00:00:00+00:00;178.0
2005-0029-USA;2005-0203-USA;252981.0;0.22;0.38;0.38;2005-01-22 00:00:00+00:00;2005-04-01 00:00:00+00:00;69.0
2005-0044-AFG;2005-0101-AFG;71480.0;0.27;0.37;0.37;2005-01-01 00:00:00+00:00;2005-03-05 00:00:00+00:00;63.0
2005-0044-AFG;2005-0169-AFG;71697.0;0.27;0.37;0.37;2005-01-01 00:00:00+00:00;2005-03-05 00:00:00+00:00;63.0
2005-0044-AFG;2005-0281-AFG;33903.0;0.13;0.66;0.66;2005-01-01 00:00:00+00:00;2005-05-04 00:00:00+00:00;123.0
2005-0044-AFG;2005-0322-AFG;68520.0;0.26;0.26;0.26;2005-01-01 00:00:00+00:00;2005-06-16 00:00:00+00:00;166.0
